=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer v2: 677 fixed dims (deskew + zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.9095
  [det7] gen 1400: val_logprob=-0.2049 val_acc=0.9757
  [det7] gen 1600: val_logprob=-0.1831 val_acc=0.9759
  [det7] gen 1800: val_logprob=-0.1728 val_acc=0.9772
  [det7] gen 2000: val_logprob=-0.1544 val_acc=0.9815
  [det7] gen 2200: val_logprob=-0.1529 val_acc=0.9825
  [det7] gen 2400: val_logprob=-0.1684 val_acc=0.9797
  [det7] gen 2600: val_logprob=-0.1466 val_acc=0.9828
  [det7] gen 2800: val_logprob=-0.1423 val_acc=0.9838
  [det7] gen 3000: val_logprob=-0.1861 val_acc=0.9814
  [det7] gen 3200: val_logprob=-0.1919 val_acc=0.9786
  [det7] gen 3400: val_logprob=-0.1821 val_acc=0.9818
  [det7] gen 3600: val_logprob=-0.1802 val_acc=0.9795
  [det7] gen 3800: val_logprob=-0.2245 val_acc=0.9821
  [det7] gen 4000: val_logprob=-0.1799 val_acc=0.9832
  [det7] gen 4200: val_logprob=-0.2180 val_acc=0.9834
  [det7] gen 4400: val_logprob=-0.2643 val_acc=0.9793
  [det7] gen 4600: val_logprob=-0.2412 val_acc=0.9848
  [det7] gen 4800: val_logprob=-0.2614 val_acc=0.9816
  [det7] gen 5000: val_logprob=-0.2109 val_acc=0.9841
[detector 7] done: balanced val_acc=0.9838
  [det8] gen 1: val_logprob=-1.2090 val_acc=0.6988
  [det8] gen 200: val_logprob=-0.5459 val_acc=0.8985
  [det8] gen 400: val_logprob=-0.4223 val_acc=0.9204
  [det8] gen 600: val_logprob=-0.3418 val_acc=0.9441
  [det8] gen 800: val_logprob=-0.2438 val_acc=0.9588
  [det8] gen 1000: val_logprob=-0.2155 val_acc=0.9617
  [det8] gen 1200: val_logprob=-0.1887 val_acc=0.9685
  [det8] gen 1400: val_logprob=-0.1952 val_acc=0.9698
  [det8] gen 1600: val_logprob=-0.1643 val_acc=0.9712
  [det8] gen 1800: val_logprob=-0.1787 val_acc=0.9739
  [det8] gen 2000: val_logprob=-0.2283 val_acc=0.9642
  [det8] gen 2200: val_logprob=-0.2008 val_acc=0.9702
  [det8] gen 2400: val_logprob=-0.1964 val_acc=0.9708
  [det8] gen 2600: val_logprob=-0.1930 val_acc=0.9705
  [det8] gen 2800: val_logprob=-0.2145 val_acc=0.9712
  [det8] gen 3000: val_logprob=-0.1827 val_acc=0.9740
  [det8] gen 3200: val_logprob=-0.2024 val_acc=0.9704
  [det8] gen 3400: val_logprob=-0.2045 val_acc=0.9713
  [det8] gen 3600: val_logprob=-0.1610 val_acc=0.9729
