=== MNIST-Pipe battery ===
building statistics layer (features are the environment)…
stats layer: 677 fixed dims (zones + profiles + grad-hist + PCA)
centroid baseline (no evolution): 0.8893
  [det5] gen 4400: val_logprob=-0.3480 val_acc=0.9670
  [det5] gen 4600: val_logprob=-0.3567 val_acc=0.9716
  [det5] gen 4800: val_logprob=-0.3741 val_acc=0.9703
  [det5] gen 5000: val_logprob=-0.3411 val_acc=0.9745
[detector 5] done: balanced val_acc=0.9666
  [det6] gen 1: val_logprob=-1.1593 val_acc=0.7047
  [det6] gen 200: val_logprob=-0.5227 val_acc=0.9133
  [det6] gen 400: val_logprob=-0.3399 val_acc=0.9542
  [det6] gen 600: val_logprob=-0.2251 val_acc=0.9676
  [det6] gen 800: val_logprob=-0.1918 val_acc=0.9735
  [det6] gen 1000: val_logprob=-0.2044 val_acc=0.9728
  [det6] gen 1200: val_logprob=-0.1507 val_acc=0.9807
  [det6] gen 1400: val_logprob=-0.1409 val_acc=0.9835
  [det6] gen 1600: val_logprob=-0.1321 val_acc=0.9841
  [det6] gen 1800: val_logprob=-0.1149 val_acc=0.9836
  [det6] gen 2000: val_logprob=-0.1141 val_acc=0.9847
  [det6] gen 2200: val_logprob=-0.1004 val_acc=0.9851
  [det6] gen 2400: val_logprob=-0.1162 val_acc=0.9868
  [det6] gen 2600: val_logprob=-0.1222 val_acc=0.9846
  [det6] gen 2800: val_logprob=-0.0873 val_acc=0.9891
  [det6] gen 3000: val_logprob=-0.1595 val_acc=0.9885
  [det6] gen 3200: val_logprob=-0.1002 val_acc=0.9868
  [det6] gen 3400: val_logprob=-0.0819 val_acc=0.9888
  [det6] gen 3600: val_logprob=-0.0843 val_acc=0.9883
  [det6] gen 3800: val_logprob=-0.0870 val_acc=0.9888
  [det6] gen 4000: val_logprob=-0.0982 val_acc=0.9869
  [det6] gen 4200: val_logprob=-0.1866 val_acc=0.9834
  [det6] gen 4400: val_logprob=-0.1794 val_acc=0.9863
  [det6] gen 4600: val_logprob=-0.1831 val_acc=0.9849
  [det6] gen 4800: val_logprob=-0.2067 val_acc=0.9819
  [det6] gen 5000: val_logprob=-0.1860 val_acc=0.9892
[detector 6] done: balanced val_acc=0.9888
  [det7] gen 1: val_logprob=-1.0286 val_acc=0.7509
  [det7] gen 200: val_logprob=-0.5095 val_acc=0.9029
  [det7] gen 400: val_logprob=-0.3580 val_acc=0.9400
  [det7] gen 600: val_logprob=-0.2803 val_acc=0.9561
  [det7] gen 800: val_logprob=-0.2133 val_acc=0.9699
